ID,Condición del Inmueble,land_size,land_size_unit,total_area,total_area_unit,Latitud,Longitud,URL_FOR_REF
60823808,1   Recámaras,64,m²,64,m²,19.3841226,-99.0547256,https://www.inmuebles24.com/propiedades/departamento-en-planta-baja-oportunidad-de-precio.-60823808.html
57580199,A estrenar,70,m²,70,m²,19.3471051,-99.2938002,https://www.inmuebles24.com/propiedades/hermoso-y-exclusivo-departamento-nuevo-en-venta-en-57580199.html
60320511,2   Recámaras,60,m²,69,m²,19.2970933,-99.1242468,https://www.inmuebles24.com/propiedades/se-vende-bonito-departamento-en-coapa-60320511.html
60202304,30  Antigüedad,117,m²,97,m²,19.3634959,-99.1720015,https://www.inmuebles24.com/propiedades/departamento-en-venta-col.-acacias-retorno-de-amores-60202304.html
59727402,22  Antigüedad,69,m²,69,m²,19.2971939,-99.1243,https://www.inmuebles24.com/propiedades/venta-departamento-59727402.html
60817539,53  Antigüedad,64,m²,0,,19.36766531,-99.20188665,https://www.inmuebles24.com/propiedades/vendo-departamento-en-plateros-cdmx-60817539.html
60817488,10  Antigüedad,246,m²,0,,19.4334461,-99.1903289,https://www.inmuebles24.com/propiedades/departamento-en-venta-ubicado-en-polanco-v-seccion-60817488.html
60817196,2  Antigüedad,100,m²,0,,19.3818736,-99.1631516,https://www.inmuebles24.com/propiedades/departamento-en-venta-del-valle-centro-sobre-angel-60817196.html
60816319,A estrenar,57,m²,0,,19.364321,-99.1613167,https://www.inmuebles24.com/propiedades/loft-en-venta-city-green-black-60816319.html
60816082,10  Antigüedad,321,m²,0,,19.35401082,-99.26006844,https://www.inmuebles24.com/propiedades/venta-de-bonito-departamento-en-cumbres-santa-fe-60816082.html
60815880,33  Antigüedad,52,m²,0,,19.4784796,-99.0920759,https://www.inmuebles24.com/propiedades/venta-departamento-san-juan-de-aragon-60815880.html
60814995,A estrenar,103,m²,0,,19.375482,-99.1410562,https://www.inmuebles24.com/propiedades/pre-venta-departamentos-san-simon-ticuman-benito-60814995.html
60814927,27  Antigüedad,58,m²,0,,19.446957,-99.139084,https://www.inmuebles24.com/propiedades/venta-departamento-eje-central-cdmx-60814927.html
60814418,A estrenar,176,m²,0,,19.3737934,-99.1931284,https://www.inmuebles24.com/propiedades/vendo-departamento-con-roof-garden-privado-col.-60814418.html
60814320,A estrenar,98,m²,0,,19.399345,-99.1843554,https://www.inmuebles24.com/propiedades/venta-departamento-escandon-1-puente-la-morena-60814320.html
60814030,A estrenar,77,m²,0,,19.397524,-99.1828281,https://www.inmuebles24.com/propiedades/venta-de-departamento-puente-morena-miguel-hidalgo-60814030.html
60813999,A estrenar,83,m²,0,,19.3754797,-99.1410343,https://www.inmuebles24.com/propiedades/pre-venta-departamentos-san-simon-ticoman-benito-60813999.html
60813947,A estrenar,1,m²,0,,19.375482,-99.1410562,https://www.inmuebles24.com/propiedades/pre-venta-departamentos-san-simon-benito-juarez-60813947.html
60813944,A estrenar,91,m²,0,,19.375482,-99.1410562,https://www.inmuebles24.com/propiedades/pre-venta-departamentos-san-simon-ticoman-benito-60813944.html
60813902,A estrenar,88,m²,0,,19.399345,-99.1843554,https://www.inmuebles24.com/propiedades/departamento-en-venta-puente-morena-escandon-1-60813902.html
60813901,A estrenar,103,m²,0,,19.375482,-99.1410562,https://www.inmuebles24.com/propiedades/pre-venta-departamento-san-simon-ticuman-benito-60813901.html
60813891,A estrenar,71,m²,0,,19.375482,-99.1410562,https://www.inmuebles24.com/propiedades/pre-venta-san-simon-ticuman-benito-juarez-60813891.html
60813888,A estrenar,70,m²,0,,19.375482,-99.1410562,https://www.inmuebles24.com/propiedades/pre-venta-departamento-san-simon-ticuman-benito-juarez-60813888.html
60813887,A estrenar,100,m²,0,,19.375482,-99.1410562,https://www.inmuebles24.com/propiedades/pre-venta-san-simon-ticuman-benito-juarez-60813887.html
60813881,A estrenar,60,m²,0,,19.375482,-99.1410562,https://www.inmuebles24.com/propiedades/pre-venta-departamento-san-simon-ticuman-benito-juarez-60813881.html
60813878,A estrenar,121,m²,0,,19.375482,-99.1410562,https://www.inmuebles24.com/propiedades/pre-venta-departamentos-san-simon-ticoman-benito-60813878.html
60813135,7  Antigüedad,53,m²,0,,19.4339819,-99.2121026,https://www.inmuebles24.com/propiedades/venta-dpto.-tipo-loft-amueblado-reforma-social-60813135.html
60812915,15  Antigüedad,100,m²,0,,19.3922719,-99.1648114,https://www.inmuebles24.com/propiedades/venta-de-departamento-en-la-del-valle-60812915.html
60812752,6  Antigüedad,50,m²,0,,19.4047895,-99.1488515,https://www.inmuebles24.com/propiedades/venta-de-departamento-a-dos-minutos-de-plaza-delta-60812752.html
60812108,4  Antigüedad,85,m²,0,,19.4401814,-99.1770569,https://www.inmuebles24.com/propiedades/departamento-en-venta-capitolio-polanco-60812108.html
60811869,A estrenar,83,m²,0,,19.35955354,-99.25413814,https://www.inmuebles24.com/propiedades/venta-de-departamento-en-santa-fe-60811869.html
60811868,A estrenar,83,m²,0,,19.35961427,-99.25388065,https://www.inmuebles24.com/propiedades/venta-de-departamento-ph-en-santa-fe-60811868.html
60811599,A estrenar,77,m²,0,,19.3840447,-99.1961138,https://www.inmuebles24.com/propiedades/venta-departamento-en-punto-cero-60811599.html
60811596,2  Antigüedad,77,m²,0,,19.3568031,-99.2742706,https://www.inmuebles24.com/propiedades/departamento-en-venta-paradox-santa-fe-60811596.html
60811029,30  Antigüedad,54,m²,0,,19.4520525,-99.1867242,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-la-anahuac-60811029.html
60810316,A estrenar,82,m²,0,,19.3822622,-99.1612756,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-del-valle-centro-60810316.html
60810314,A estrenar,82,m²,0,,19.3822622,-99.1612756,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-del-valle-centro-60810314.html
60810312,A estrenar,106,m²,0,,19.3822622,-99.1612756,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-del-valle-centro-60810312.html
60810309,A estrenar,131,m²,0,,19.3822622,-99.1612756,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-del-valle-centro-60810309.html
60810307,A estrenar,76,m²,0,,19.3822622,-99.1612756,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-del-valle-centro-60810307.html
