Nombre de Publicación,Estado,Ciudad,Colonia,Avenida,Tipo de propiedad,Tipo de Operación,Condición del Inmueble,Precio,Precio por m2,Moneda,Número de recámaras,Número de baños completos,Número de m2,Unidad de medida,Link de la publicación,Foto de publicación,Real State Agency?,Latitud,Longitud,ID
Departamento  Amplio En Venta A 5 Minutos Del Wtc,Distrito Federal,Benito Juárez,Colonia Del Valle,Magdalena 40,Departamento,Venta,Usado,2945000,23373.015873015873,MXN,3,2,126.0,m²,https://departamento.mercadolibre.com.mx/MLM-877111645-departamento-amplio-en-venta-a-5-minutos-del-wtc-_JM,http://http2.mlstatic.com/D_962386-MLM44955348638_022021-I.jpg,True,19.39646,-99.170235,MLM877111645
"Departamento En Remate Colonia Letran Valle, Benito Juarez",Distrito Federal,Benito Juárez,,,Departamento,Venta,Usado,2800000,23333.333333333332,MXN,2,2,120.0,m²,https://departamento.mercadolibre.com.mx/MLM-824064715-departamento-en-remate-colonia-letran-valle-benito-juarez-_JM,http://http2.mlstatic.com/D_936138-MLM43629588845_092020-I.jpg,True,19.379406,-99.15914,MLM824064715
Fermus Departamento En Venta Colonia Del Valle Cdmx,Distrito Federal,Benito Juárez,Del Valle Centro,JUAN SANCHEZ AZCONA 1427,Departamento,Venta,Usado,1503443,23129.89230769231,MXN,2,1,65.0,m²,https://departamento.mercadolibre.com.mx/MLM-887504072-fermus-departamento-en-venta-colonia-del-valle-cdmx-_JM,http://mlm-s1-p.mlstatic.com/846544-MLM45142537215_032021-I.jpg,True,19.376482,-99.164536,MLM887504072
Departamento En Venta En Colonia Valle Norte  Adtrlv80 ,Distrito Federal,Benito Juárez,,,Departamento,Venta,Nuevo,5520000,23000.0,MXN,3,2,240.0,m²,https://departamento.mercadolibre.com.mx/MLM-827964933-departamento-en-venta-en-colonia-valle-norte-adtrlv80-_JM,http://http2.mlstatic.com/D_635334-MLM43747840251_102020-I.jpg,True,19.379406,-99.15914,MLM827964933
Departamento En Venta Del Valle,Distrito Federal,Benito Juárez,Colonia Del Valle,División del Norte310,Departamento,Venta,Nuevo,1816447,22705.5875,MXN,2,1,80.0,m²,https://departamento.mercadolibre.com.mx/MLM-881431721-departamento-en-venta-del-valle-_JM,http://http2.mlstatic.com/D_754773-MLM45034351816_022021-I.jpg,True,19.39604,-99.168755,MLM881431721
"Ac Depto. Bien Ubicado En Colonia Del Valle, Benito Juarez",Distrito Federal,Benito Juárez,Del Valle Norte,Pedro Romero de Terreros 25,Departamento,Venta,Usado,2678990,22512.52100840336,MXN,3,3,119.0,m²,https://departamento.mercadolibre.com.mx/MLM-800083432-ac-depto-bien-ubicado-en-colonia-del-valle-benito-juarez-_JM,http://mlm-s1-p.mlstatic.com/801542-MLM42959976699_072020-I.jpg,True,19.39578,-99.1684,MLM800083432
Adolfo Prieto 812 Col. Del Valle Centro  Benito Juárez,Distrito Federal,Benito Juárez,Colonia Del Valle,ADOLFO PRIETO 812,Casa,Venta,Usado,5800000,22393.822393822393,MXN,3,2,259.0,m²,https://casa.mercadolibre.com.mx/MLM-897110422-adolfo-prieto-812-col-del-valle-centro-benito-juarez-_JM,http://http2.mlstatic.com/D_664860-MLM45415658150_042021-I.jpg,True,19.389473,-99.16799,MLM897110422
"Departamento En Venta, Colonia Del Valle, Benito Juarez, Sby",Distrito Federal,Benito Juárez,Del Valle Centro,Eugenia 828,Departamento,Venta,Usado,1944000,22344.827586206895,MXN,2,1,87.0,m²,https://departamento.mercadolibre.com.mx/MLM-885339622-departamento-en-venta-colonia-del-valle-benito-juarez-sby-_JM,http://http2.mlstatic.com/D_722405-MLM45097516121_032021-I.jpg,True,19.387007,-99.16471,MLM885339622
Fermus Departamento En Venta Colonia Del Valle Cdmx,Distrito Federal,Benito Juárez,Del Valle Centro,PITAGORAS 1145,Departamento,Venta,Usado,1555000,22214.285714285714,MXN,2,1,70.0,m²,https://departamento.mercadolibre.com.mx/MLM-884233942-fermus-departamento-en-venta-colonia-del-valle-cdmx-_JM,http://http2.mlstatic.com/D_668276-MLM45079623820_032021-I.jpg,True,19.379854,-99.16044,MLM884233942
Jr Se Vende Departamento En Colonia Del Valle Luz Saviñon,Distrito Federal,Benito Juárez,Colonia Del Valle,LUZ SAVIÑON  508,Departamento,Venta,Usado,1655000,22066.666666666668,MXN,2,1,75.0,m²,https://departamento.mercadolibre.com.mx/MLM-874715972-jr-se-vende-departamento-en-colonia-del-valle-luz-savinon-_JM,http://mlm-s1-p.mlstatic.com/773486-MLM44881624172_022021-I.jpg,True,19.393164,-99.16805,MLM874715972
Dpto. Amores 1144 Del Valle Bj Cdmx  Remate Hipotecario Maw,Distrito Federal,Benito Juárez,Colonia Del Valle,Calle Amores 1144,Departamento,Venta,not specified,2800000,21875.0,MXN,2,2,128.0,m²,https://departamento.mercadolibre.com.mx/MLM-750988903-dpto-amores-1144-del-valle-bj-cdmx-remate-hipotecario-maw-_JM,http://http2.mlstatic.com/D_720764-MLM40414826208_012020-I.jpg,True,19.379326,-99.16744,MLM750988903
Carl05 Venta De Departamento En Benito Juarez,Distrito Federal,Benito Juárez,Colonia Del Valle,Cerrada de Matias Romero  25,Casa,Venta,Usado,1745000,21812.5,MXN,2,1,80.0,m²,https://casa.mercadolibre.com.mx/MLM-885657813-carl05-venta-de-departamento-en-benito-juarez-_JM,http://http2.mlstatic.com/D_903806-MLM45101208555_032021-I.jpg,True,19.380217,-99.17009,MLM885657813
Ram Departamento Venta Remate Bancario Colonia Del Valle Sur,Distrito Federal,Benito Juárez,Del Valle Sur,Gabriel Mancera 1439,Departamento,Venta,Usado,1518610,21694.428571428572,MXN,2,1,70.0,m²,https://departamento.mercadolibre.com.mx/MLM-887569325-ram-departamento-venta-remate-bancario-colonia-del-valle-sur-_JM,http://http2.mlstatic.com/D_760407-MLM45142868793_032021-I.jpg,True,19.371983,-99.16789,MLM887569325
Excelente Departamento En La Del Valle,Distrito Federal,Benito Juárez,Colonia Del Valle,AV COYOACAN  704,Casa,Venta,Usado,1515000,21041.666666666668,MXN,2,1,72.0,m²,https://casa.mercadolibre.com.mx/MLM-802461126-excelente-departamento-en-la-del-valle-_JM,http://http2.mlstatic.com/D_644925-MLM43058074731_082020-I.jpg,True,19.386951,-99.166954,MLM802461126
"Penthouse En Venta Remate Bancario Col. Del Valle Sur, Benito Juarez",Distrito Federal,Benito Juárez,Colonia Del Valle,Avenida Amores 1651,Departamento,Venta,Usado,4200000,21000.0,MXN,3,2,200.0,m²,https://departamento.mercadolibre.com.mx/MLM-892640315-penthouse-en-venta-remate-bancario-col-del-valle-sur-benito-juarez-_JM,http://http2.mlstatic.com/D_729426-MLM45244414207_032021-I.jpg,True,19.367662,-99.170654,MLM892640315
"Departamento En Xola, Colonia Del Valle A Precio De Remate",Distrito Federal,Benito Juárez,Del Valle Norte,Xola 415,Departamento,Venta,Usado,1435000,20500.0,MXN,2,2,70.0,m²,https://departamento.mercadolibre.com.mx/MLM-825499450-departamento-en-xola-colonia-del-valle-a-precio-de-remate-_JM,http://http2.mlstatic.com/D_898756-MLM43669891763_102020-I.jpg,True,19.397232,-99.166565,MLM825499450
"Departamento Ideal En Col. Del Valle, Benito Juárez En Venta",Distrito Federal,Benito Juárez,Colonia Del Valle,Eugenia 828,Departamento,Venta,Usado,1944000,20463.157894736843,MXN,3,2,95.0,m²,https://departamento.mercadolibre.com.mx/MLM-886023925-departamento-ideal-en-col-del-valle-benito-juarez-en-venta-_JM,http://http2.mlstatic.com/D_877796-MLM45107667763_032021-I.jpg,True,19.387007,-99.16471,MLM886023925
