Nombre de Publicación,Tipo de Inmueble,Estado,Ciudad,Colonia,Latitud,Longitud,Número de m2,Unidad de medida,Precio,Moneda,Link de la publicación
"Departamento En Venta , Roma Sur ,67.62m2, 1",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,67,m²,"4,152,050",MXN,https://departamento.mercadolibre.com.mx/MLM-831115944-departamento-en-venta-roma-sur-6762m2-1-_JM
"Departamento En Venta , Roma Sur ,65.04m2, 1",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,65,m²,"4,035,700",MXN,https://departamento.mercadolibre.com.mx/MLM-831115940-departamento-en-venta-roma-sur-6504m2-1-_JM
"Departamento En Venta , Roma Sur ,66.42m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,66,m²,"3,733,600",MXN,https://departamento.mercadolibre.com.mx/MLM-831119475-departamento-en-venta-roma-sur-6642m2-_JM
"Departamento En Venta , Roma Sur ,68.13m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,68,m²,"3,835,325",MXN,https://departamento.mercadolibre.com.mx/MLM-831122685-departamento-en-venta-roma-sur-6813m2-_JM
"Departamento En Venta , Roma Sur ,107.26m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,107,m²,"6,374,425",MXN,https://departamento.mercadolibre.com.mx/MLM-831119469-departamento-en-venta-roma-sur-10726m2-_JM
"Departamento En Venta , Roma Sur ,77.64m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,77,m²,"4,425,200",MXN,https://departamento.mercadolibre.com.mx/MLM-831115933-departamento-en-venta-roma-sur-7764m2-_JM
"Departamento En Venta , Roma Sur ,114.33m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,114,m²,"6,702,350",MXN,https://departamento.mercadolibre.com.mx/MLM-831115932-departamento-en-venta-roma-sur-11433m2-_JM
"Departamento En Venta , Roma Sur ,94.2m2",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,94,m²,"5,655,600",MXN,https://departamento.mercadolibre.com.mx/MLM-831115902-departamento-en-venta-roma-sur-942m2-_JM
Departamento En Venta Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.401487,-99.168015,63,m²,"2,990,000",MXN,https://departamento.mercadolibre.com.mx/MLM-797783704-departamento-en-venta-roma-sur-_JM
EstÃ©tico Y CÃ©ntrico Departamento En La Col. Escandon,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,76,m²,"3,832,000",MXN,https://departamento.mercadolibre.com.mx/MLM-796026563-estetico-y-centrico-departamento-en-la-col-escandon-_JM
"Departamento En Venta En Roma Sur $2,410,000.00 Pesos.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.401785,-99.1688,157,m²,"2,410,000",MXN,https://departamento.mercadolibre.com.mx/MLM-765422944-departamento-en-venta-en-roma-sur-241000000-pesos-_JM
Extraordinario! Con Terrazas E Inigualable UbicaciÃ³n.,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.407822,-99.16671,129,m²,"13,000,000",MXN,https://departamento.mercadolibre.com.mx/MLM-815497111-extraordinario-con-terrazas-e-inigualable-ubicacion-_JM
En Venta Amplia Casa En Roma Sur Con Dos Deptos.,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,300,m²,"17,500,000",MXN,https://casa.mercadolibre.com.mx/MLM-763103420-en-venta-amplia-casa-en-roma-sur-con-dos-deptos-_JM
Espectacular Ph Para Estrenar Con Roof Garden PanorÃ¡mico En La Col. Escandon,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,140,m²,"6,595,000",MXN,https://departamento.mercadolibre.com.mx/MLM-796017878-espectacular-ph-para-estrenar-con-roof-garden-panoramico-en-la-col-escandon-_JM
Roma Sur Se Vende Hermoso Departamento,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.40302,-99.1687,104,m²,"5,350,000",MXN,https://departamento.mercadolibre.com.mx/MLM-794975695-roma-sur-se-vende-hermoso-departamento-_JM
Moderno Departamento En Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,60,m²,"3,380,000",MXN,https://departamento.mercadolibre.com.mx/MLM-824600152-moderno-departamento-en-roma-sur-_JM
Roma Sur Se Vende Hermoso Departamento,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.40302,-99.1687,85,m²,"4,850,000",MXN,https://departamento.mercadolibre.com.mx/MLM-794981839-roma-sur-se-vende-hermoso-departamento-_JM
Roma Sur Se Vende Hermoso Departamento,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.40302,-99.1687,145,m²,"9,950,000",MXN,https://departamento.mercadolibre.com.mx/MLM-794977468-roma-sur-se-vende-hermoso-departamento-_JM
Roma Sur Se Vende Hermoso Departamento,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.40302,-99.1687,121,m²,"7,300,000",MXN,https://departamento.mercadolibre.com.mx/MLM-794979308-roma-sur-se-vende-hermoso-departamento-_JM
